geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
LINC01158,chr2,104843317,104843651,334,0.159242374,0.518161148,0.358918774,1,1,1,cg00619126;cg15910662
FAM163A,chr1,179743456,179744215,759,0.185298417,0.500379339,0.315080922,1,1,1,cg20318608;cg03340466;cg20242752;cg06656994;cg16419354
FAM163A,chr1,179743023,179744816,1793,0.199111194,0.489068876,0.289957682,1,1,1,cg27297088;cg09683824;cg00181968;cg00962913;cg13449778;cg19804605;cg20318608;cg03340466;cg20242752;cg06656994;cg16419354;cg14748380;cg24460126;cg21363811
AC016910.1,chr2,143937242,143937512,270,0.107955215,0.549299332,0.441344116,1,1,1,cg01626326;cg05545132
AC016910.1,chr2,143937242,143937613,371,0.107604633,0.564199343,0.45659471,1,1,1,cg01626326;cg05545132;cg16263943
GABBR2,chr9,98709271,98709705,434,0.187423612,0.525645693,0.338222081,1,1,1,cg18507707;cg13434352;cg07903918
PDX1,chr13,27924407,27924742,335,0.105181789,0.599951772,0.494769983,1,1,1,cg12815918;cg15961466
PDX1,chr13,27924314,27924742,428,0.12587038,0.585077232,0.459206852,1,1,1,cg24601716;cg12815918;cg15961466
PDX1,chr13,27924407,27924820,413,0.139265825,0.663055228,0.523789404,1,1,1,cg12815918;cg15961466;cg26299169
PDX1,chr13,27924197,27924408,211,0.102263483,0.632453365,0.530189883,1,1,1,cg16302790;cg09975620;cg24601716;cg12815918
PDX1,chr13,27924247,27924742,495,0.114946711,0.608055375,0.493108664,1,1,1,cg09975620;cg24601716;cg12815918;cg15961466
PDX1,chr13,27924314,27924820,506,0.146261259,0.63612346,0.489862201,1,1,1,cg24601716;cg12815918;cg15961466;cg26299169
PDX1,chr13,27924407,27924909,502,0.167821409,0.652634644,0.484813234,1,1,1,cg12815918;cg15961466;cg26299169;cg00184376
PDX1,chr13,27924197,27924742,545,0.105324955,0.62510191,0.519776955,1,1,1,cg16302790;cg09975620;cg24601716;cg12815918;cg15961466
PDX1,chr13,27924247,27924820,573,0.133444148,0.644296728,0.510852581,1,1,1,cg09975620;cg24601716;cg12815918;cg15961466;cg26299169
PDX1,chr13,27924314,27924909,595,0.16770664,0.633173346,0.465466706,1,1,1,cg24601716;cg12815918;cg15961466;cg26299169;cg00184376
PDX1,chr13,27924197,27924820,623,0.122343112,0.652461948,0.530118837,1,1,1,cg16302790;cg09975620;cg24601716;cg12815918;cg15961466;cg26299169
PDX1,chr13,27924247,27924909,662,0.153451484,0.640476088,0.487024605,1,1,1,cg09975620;cg24601716;cg12815918;cg15961466;cg26299169;cg00184376
PDX1,chr13,27924197,27924909,712,0.141078119,0.648020654,0.506942535,1,1,1,cg16302790;cg09975620;cg24601716;cg12815918;cg15961466;cg26299169;cg00184376
ONECUT2,chr18,57440004,57440524,520,0.196836656,0.541493203,0.344656547,1,1,1,cg03636532;cg24771804
ONECUT2,chr18,57440523,57440837,314,0.192692816,0.536753808,0.344060992,1,1,1,cg24771804;cg00196827
SKOR1,chr15,67829801,67830237,436,0.178298999,0.560999477,0.382700477,1,1,1,cg11601252;cg22241820
OR2I1P,chr6,29553729,29553929,200,0.173710545,0.599508363,0.425797818,1,1,1,cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589
OR2I1P,chr6,29553579,29553822,243,0.183475809,0.594595064,0.411119255,1,1,1,cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157
OR2I1P,chr6,29553724,29553929,205,0.176975705,0.603547774,0.42657207,1,1,1,cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589
OR2I1P,chr6,29553729,29553938,209,0.174087136,0.57751037,0.403423234,1,1,1,cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770
OR2I1P,chr6,29553495,29553822,327,0.188175361,0.596637202,0.408461841,1,1,1,cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157
OR2I1P,chr6,29553579,29553826,247,0.178797483,0.597601838,0.418804355,1,1,1,cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229
OR2I1P,chr6,29553643,29553848,205,0.171543372,0.608910109,0.437366737,1,1,1,cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187
OR2I1P,chr6,29553653,29553855,202,0.171471398,0.610468783,0.438997385,1,1,1,cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984
OR2I1P,chr6,29553711,29553919,208,0.180458946,0.609986983,0.429528037,1,1,1,cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251
OR2I1P,chr6,29553722,29553929,207,0.17772238,0.603773445,0.426051066,1,1,1,cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589
OR2I1P,chr6,29553724,29553938,214,0.177048817,0.58304633,0.405997513,1,1,1,cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770
OR2I1P,chr6,29553729,29553975,246,0.173478161,0.590188498,0.416710337,1,1,1,cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773
OR2I1P,chr6,29553451,29553822,371,0.189173586,0.595218653,0.406045068,1,1,1,cg15814717;cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157
OR2I1P,chr6,29553495,29553826,331,0.183495402,0.599255598,0.415760196,1,1,1,cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229
OR2I1P,chr6,29553579,29553828,249,0.180626682,0.595760093,0.41513341,1,1,1,cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400
OR2I1P,chr6,29553630,29553848,218,0.179453208,0.60978655,0.430333343,1,1,1,cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187
OR2I1P,chr6,29553643,29553855,212,0.174070113,0.615624417,0.441554304,1,1,1,cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984
OR2I1P,chr6,29553653,29553919,266,0.177834541,0.607650107,0.429815566,1,1,1,cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251
OR2I1P,chr6,29553711,29553929,218,0.1777758,0.601822953,0.424047152,1,1,1,cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589
OR2I1P,chr6,29553722,29553938,216,0.177732431,0.584831676,0.407099245,1,1,1,cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770
OR2I1P,chr6,29553724,29553975,251,0.176258865,0.594323375,0.41806451,1,1,1,cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773
OR2I1P,chr6,29553729,29553980,251,0.172417633,0.601704493,0.42928686,1,1,1,cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773;cg14278853
OR2I1P,chr6,29553791,29554005,214,0.178659282,0.612041881,0.433382599,1,1,1,cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773;cg14278853;cg20034792
OR2I1P,chr6,29553451,29553826,375,0.184756608,0.597751346,0.412994738,1,1,1,cg15814717;cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229
OR2I1P,chr6,29553495,29553828,333,0.184858378,0.59742728,0.412568902,1,1,1,cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400
OR2I1P,chr6,29553579,29553848,269,0.182776892,0.604754038,0.421977146,1,1,1,cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187
OR2I1P,chr6,29553630,29553855,225,0.181234479,0.615958662,0.434724183,1,1,1,cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984
OR2I1P,chr6,29553643,29553919,276,0.179793123,0.612638815,0.432845693,1,1,1,cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251
OR2I1P,chr6,29553653,29553929,276,0.175530506,0.600236141,0.424705636,1,1,1,cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589
OR2I1P,chr6,29553711,29553938,227,0.177781318,0.584373488,0.406592169,1,1,1,cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770
OR2I1P,chr6,29553722,29553975,253,0.176950075,0.595175693,0.418225618,1,1,1,cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773
OR2I1P,chr6,29553724,29553980,256,0.175075467,0.60472145,0.429645983,1,1,1,cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773;cg14278853
OR2I1P,chr6,29553729,29554005,276,0.182182075,0.611348102,0.429166027,1,1,1,cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773;cg14278853;cg20034792
OR2I1P,chr6,29553791,29554007,216,0.191683184,0.616609818,0.424926634,1,1,1,cg15490715;cg06613392;cg18488157;cg00370229;cg12217400;cg03409187;cg19690984;cg16044251;cg18588589;cg06378770;cg22617773;cg14278853;cg20034792;cg26131286
OR2I1P,chr6,29553451,29553828,377,0.185944639,0.596145199,0.41020056,1,1,1,cg15814717;cg22762215;cg21632158;cg03402459;cg22305167;cg15818307;cg21133153;cg06087185;cg20723129;cg09205920;cg15490715;cg06613392;cg18488157;cg00370229;cg12217400
