geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
GHSR,chr3,172447906,172448728,822,0.109544264,0.568094672,0.458550407,0.687350835,1,0.999066099,cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757;cg14768785
L1TD1,chr1,62194952,62195190,238,0.115800643,0.710165244,0.594364601,0.945107399,1,0.999066099,cg23049458;cg12640000;cg03731268
LINC00391,chr13,94702487,94702864,377,0.111640677,0.62709442,0.515453743,0.792362768,1,0.998962333,cg11432962;cg02671880
GHSR,chr3,172447727,172448728,1001,0.114378338,0.548902284,0.434523945,0.642004773,1,0.998962333,cg18875012;cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757;cg14768785
TBX4,chr17,61456741,61457487,746,0.190348788,0.690626443,0.500277655,0.914081146,1,0.998910449,cg06365535;cg24274579;cg00158789;cg25900280
TBX4,chr17,61456741,61457543,802,0.169724855,0.657086738,0.487361882,0.894988067,1,0.998910449,cg06365535;cg24274579;cg00158789;cg25900280;cg03222323
L1TD1,chr1,62194884,62195190,306,0.169768905,0.72696179,0.557192884,0.957040573,1,0.998910449,cg19594218;cg23049458;cg12640000;cg03731268
TBX4,chr17,61456741,61457638,897,0.156921056,0.661881704,0.504960647,0.902147971,1,0.998858566,cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443
TBX4,chr17,61456483,61457638,1155,0.196698163,0.675643931,0.478945768,0.914081146,1,0.998858566,cg18536148;cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443
POU4F2;AC093887.1,chr4,146639130,146640749,1619,0.1344512,0.582438042,0.447986843,0.76372315,1,0.998858566,cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264;cg19555331
POU4F2;AC093887.1,chr4,146638496,146640749,2253,0.12788864,0.563985445,0.436096805,0.682577566,1,0.998858566,cg12935979;cg24199834;cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264;cg19555331
TBX4,chr17,61456483,61457893,1410,0.185965191,0.667460104,0.481494913,0.904534606,1,0.998806683,cg18536148;cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443;cg07265743
POU4F2;AC093887.1,chr4,146638496,146640624,2128,0.129042151,0.556826777,0.427784625,0.675417661,1,0.998806683,cg12935979;cg24199834;cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264
TBX4,chr17,61456741,61457893,1152,0.150337246,0.654494791,0.504157545,0.885441527,1,0.998754799,cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443;cg07265743
GHSR,chr3,172447906,172448469,563,0.120800047,0.559073171,0.438273124,0.665871122,1,0.998754799,cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757
GHSR,chr3,172447727,172448469,742,0.124716734,0.538427799,0.413711065,0.632458234,1,0.998754799,cg18875012;cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757
NKX2-6;RP11-175E9.1,chr8,23705405,23705634,229,0.173416686,0.667659171,0.494242485,0.897374702,1,0.998702916,cg14451926;cg00425918
POU4F2;AC093887.1,chr4,146639130,146640624,1494,0.136871794,0.575870125,0.438998332,0.747016706,1,0.998702916,cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264
GHSR,chr3,172448094,172448453,359,0.104488513,0.559707347,0.455218834,0.670644391,1,0.998651032,cg10109500;cg07852825;cg15987088;cg24599434
GHSR,chr3,172447906,172448453,547,0.125875224,0.555167002,0.429291778,0.670644391,1,0.998651032,cg03587978;cg10109500;cg07852825;cg15987088;cg24599434
