geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
LINC01158,chr2,104842859,104843651,792,0.166991517,0.515119312,0.348127794,1,1,1,cg19267252;cg00619126;cg15910662
BARHL2,chr1,90717432,90717963,531,0.137468659,0.540533275,0.403064615,1,1,1,cg00010742;cg25026529;cg13939859
SLC35F1,chr6,117908143,117908479,336,0.14083956,0.411149491,0.27030993,1,1,1,cg17687493;cg09283154
SALL1,chr16,51151483,51152356,873,0.199233053,0.536831189,0.337598136,1,1,1,cg22674717;cg05213609;cg06724588;cg07502439;cg01500945;cg13755795;cg05404010;cg08776356;cg00177451
LONRF2,chr2,100321482,100321983,501,0.107427827,0.555555083,0.448127256,1,1,1,cg03559235;cg14348439
LONRF2,chr2,100321982,100322338,356,0.042391916,0.529931314,0.487539397,1,1,1,cg14348439;cg23977631
LONRF2,chr2,100321334,100321983,649,0.119473033,0.51954402,0.400070988,1,1,1,cg00144550;cg03559235;cg14348439
LONRF2,chr2,100321482,100322338,856,0.081521588,0.550267186,0.468745598,1,1,1,cg03559235;cg14348439;cg23977631
LONRF2,chr2,100321982,100322352,370,0.036695451,0.506133312,0.469437861,1,1,1,cg14348439;cg23977631;cg14997226
LONRF2,chr2,100322351,100322584,233,0.062558569,0.510702863,0.448144294,1,1,1,cg14997226;cg14675211;cg07304692
LONRF2,chr2,100321334,100322338,1004,0.097032052,0.524580864,0.427548811,1,1,1,cg00144550;cg03559235;cg14348439;cg23977631
LONRF2,chr2,100321482,100322352,870,0.067466821,0.527334717,0.459867895,1,1,1,cg03559235;cg14348439;cg23977631;cg14997226
LONRF2,chr2,100321982,100322442,460,0.038098699,0.50990077,0.471802071,1,1,1,cg14348439;cg23977631;cg14997226;cg14675211
LONRF2,chr2,100322337,100322584,247,0.054346204,0.517949995,0.463603791,1,1,1,cg23977631;cg14997226;cg14675211;cg07304692
LONRF2,chr2,100321334,100322352,1018,0.082686146,0.511372152,0.428686007,1,1,1,cg00144550;cg03559235;cg14348439;cg23977631;cg14997226
LONRF2,chr2,100321482,100322442,960,0.062435146,0.526108402,0.463673256,1,1,1,cg03559235;cg14348439;cg23977631;cg14997226;cg14675211
LONRF2,chr2,100321982,100322584,602,0.054491908,0.518394243,0.463902335,1,1,1,cg14348439;cg23977631;cg14997226;cg14675211;cg07304692
LONRF2,chr2,100321334,100322442,1108,0.075956529,0.513010651,0.437054122,1,1,1,cg00144550;cg03559235;cg14348439;cg23977631;cg14997226;cg14675211
LONRF2,chr2,100321482,100322584,1102,0.072040079,0.530485025,0.458444946,1,1,1,cg03559235;cg14348439;cg23977631;cg14997226;cg14675211;cg07304692
LONRF2,chr2,100321334,100322584,1250,0.082257702,0.518633149,0.436375447,1,1,1,cg00144550;cg03559235;cg14348439;cg23977631;cg14997226;cg14675211;cg07304692
