probeId	GeneSymbol
cg06848185	SEPT9
cg19554255	SEPT9
cg17300544	SEPT9
cg03804136	SEPT9
cg15044248	SEPT9
cg02884239	SEPT9
cg20275528	SEPT9
cg12783819	SEPT9
cg05184938	SEPT9
cg02320862	SEPT9
cg26449787	EYA4
cg02446647	EYA4
cg14017655	EYA4
cg06181518	EYA4
cg11518846	EYA4
cg20980055	EYA4
cg20286200	EYA4
cg05062333	EYA4
cg01162672	EYA4
cg01328892	EYA4
cg17838029	EYA4
cg16347317	EYA4
cg05085230	EYA4
cg08712932	EYA4
cg06132028	EYA4
cg11942956	EYA4
cg20787173	EYA4
cg11664500	EYA4
cg14287112	EYA4
cg22871668	EYA4
cg14270292	EYA4
cg26656135	EYA4
cg24176563	EYA4
cg01401376	EYA4
cg17722675	EYA4
cg21607030	EYA4
cg01108118	IRF4
cg10379890	IRF4
cg26433102	IRF4
cg05766140	IRF4
cg17228900	IRF4
cg06392169	IRF4
cg12741420	IRF4
cg12612118	IRF4
cg12684209	IRF4
cg21277995	IRF4
cg06223767	IRF4
cg12973591	TFPI2
cg22799321	TFPI2
cg20230721	TFPI2
cg23141855	TFPI2
cg23686014	TFPI2
cg24531255	TFPI2
cg17338208	TFPI2
cg26739865	TFPI2
cg22441533	TFPI2
cg14377593	TFPI2
cg04525189	VIPR2
cg20830514	VIPR2
cg19814400	VIPR2
cg21038156	VIPR2
cg18349835	VIPR2
cg13794530	VIPR2
cg03976877	VIPR2
cg23572908	VIPR2
cg25189564	VIPR2
cg20673829	VIPR2
cg08614290	VIPR2
cg02149189	OR2I1P
cg13641185	OR2I1P
cg00674706	OR2I1P
cg27546977	OR2I1P
cg21834061	OR2I1P
cg15814717	OR2I1P
cg22762215	OR2I1P
cg21632158	OR2I1P
cg03402459	OR2I1P
cg22305167	OR2I1P
cg15818307	OR2I1P
cg21133153	OR2I1P
cg06087185	OR2I1P
cg20723129	OR2I1P
cg09205920	OR2I1P
cg15490715	OR2I1P
cg06613392	OR2I1P
cg18488157	OR2I1P
cg00370229	OR2I1P
cg12217400	OR2I1P
cg03409187	OR2I1P
cg19690984	OR2I1P
cg16044251	OR2I1P
cg18588589	OR2I1P
cg06378770	OR2I1P
cg22617773	OR2I1P
cg14278853	OR2I1P
cg20034792	OR2I1P
cg26131286	OR2I1P
cg21153898	OR2I1P
cg26142965	OR2I1P
cg18780257	FGF12
cg04003850	FGF12
cg00386551	FGF12
cg04350913	FGF12
cg21197774	FGF12
cg16366473	FGF12
cg15048660	FGF12
cg23207710	FGF12
cg01257828	FGF12
cg10511904	FGF12
cg16376000	FGF12
cg17393267	FGF12
cg08002883	FGF12
cg01255414	FGF12
cg02898293	VSX1
cg06151165	VSX1
cg14763548	VSX1
cg00043788	VSX1
cg01941895	VSX1
cg02631468	VSX1
cg16185834	VSX1
cg15272362	VSX1
cg01715455	VSX1
cg03111498	VSX1
cg05158615	NPY
cg24242823	NPY
cg24885417	NPY
cg00355281	NPY
cg15929698	NPY
cg16964348	NPY
cg25884711	NPY
cg21097881	NPY
cg12614105	NPY
cg11475550	NPY
cg24245418	NPY
cg04697148	NPY
cg06782035	MARCH11
cg23479922	MARCH11
cg09017434	MARCH11
cg15015920	MARCH11
cg25092681	MARCH11
cg00339556	MARCH11
cg01791874	MARCH11
cg17030173	MARCH11
cg17712694	MARCH11
cg16150752	MARCH11
cg21901718	MARCH11
cg18325622	MARCH11
cg23065934	MARCH11
cg11452391	MARCH11
cg12456714	MARCH11
cg16182986	MARCH11
cg27028555	FLI1;SENCR
cg09037089	FLI1;SENCR
cg18142615	FLI1;SENCR
cg08590601	FLI1;SENCR
cg19897940	FLI1;SENCR
cg13755070	FLI1;SENCR
cg02526522	FLI1;SENCR
cg06172475	FLI1;SENCR
cg06072021	FLI1;SENCR
cg17872757	FLI1;SENCR
cg02216246	FLI1;SENCR
cg11017065	FLI1;SENCR
cg03186486	FAM19A4
cg15356923	FAM19A4
cg23967169	FAM19A4
cg12417685	FAM19A4
cg12219082	FAM19A4
cg09868336	FAM19A4
cg12412079	FAM19A4
cg13921352	FAM19A4
cg20375342	FAM19A4
cg05893614	FAM19A4
cg23357198	PTPRT
cg26105214	PTPRT
cg25649000	PTPRT
cg13168820	PTPRT
cg03403065	PTPRT
cg08413157	PTPRT
cg17859110	PTPRT
cg07167168	PTPRT
cg21672843	PTPRT
cg04541293	PTPRT
