GeneSymbol	probeIds
SEPT9	cg06848185_cg19554255_cg17300544_cg03804136_cg15044248_cg02884239_cg20275528_cg12783819_cg05184938_cg02320862
EYA4	cg26449787_cg02446647_cg14017655_cg06181518_cg11518846_cg20980055_cg20286200_cg05062333_cg01162672_cg01328892_cg17838029_cg16347317_cg05085230_cg08712932_cg06132028_cg11942956_cg20787173_cg11664500_cg14287112_cg22871668_cg14270292_cg26656135_cg24176563_cg01401376_cg17722675_cg21607030
IRF4	cg01108118_cg10379890_cg26433102_cg05766140_cg17228900_cg06392169_cg12741420_cg12612118_cg12684209_cg21277995_cg06223767
AC002076.10;GNGT1;TFPI2	cg12973591_cg22799321_cg20230721_cg23141855_cg23686014_cg24531255_cg17338208_cg26739865_cg22441533_cg14377593
VIPR2	cg04525189_cg20830514_cg19814400_cg21038156_cg18349835_cg13794530_cg03976877_cg23572908_cg25189564_cg20673829_cg08614290
OR2I1P	cg02149189_cg13641185_cg00674706_cg27546977_cg21834061_cg15814717_cg22762215_cg21632158_cg03402459_cg22305167_cg15818307_cg21133153_cg06087185_cg20723129_cg09205920_cg15490715_cg06613392_cg18488157_cg00370229_cg12217400_cg03409187_cg19690984_cg16044251_cg18588589_cg06378770_cg22617773_cg14278853_cg20034792_cg26131286_cg21153898_cg26142965
FGF12	cg18780257_cg04003850_cg00386551_cg04350913_cg21197774_cg16366473_cg15048660_cg23207710_cg01257828_cg10511904_cg16376000_cg17393267_cg08002883_cg01255414
VSX1	cg02898293_cg06151165_cg14763548_cg00043788_cg01941895_cg02631468_cg16185834_cg15272362_cg01715455_cg03111498
NPY	cg05158615_cg24242823_cg24885417_cg00355281_cg15929698_cg16964348_cg25884711_cg21097881_cg12614105_cg11475550_cg24245418_cg04697148
MARCH11;RP11-19O2.2	cg06782035_cg23479922_cg09017434_cg15015920_cg25092681_cg00339556_cg01791874_cg17030173_cg17712694_cg16150752_cg21901718_cg18325622_cg23065934_cg11452391_cg12456714_cg16182986
FLI1;SENCR	cg27028555_cg09037089_cg18142615_cg08590601_cg19897940_cg13755070_cg02526522_cg06172475_cg06072021_cg17872757_cg02216246_cg11017065
FAM19A4	cg03186486_cg15356923_cg23967169_cg12417685_cg12219082_cg09868336_cg12412079_cg13921352_cg20375342_cg05893614
PTPRT;RP1-269M15.3	cg23357198_cg26105214_cg25649000_cg13168820_cg03403065_cg08413157_cg17859110_cg07167168_cg21672843_cg04541293
