geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
LRRC4;SND1,chr7,128032182,128032421,239,0.0737489855261799,0.549554520560869,0.475805535034689,0.997455470737914,1,0.999264913768731,cg04153784;cg12628196;cg09087503
LRRC4;SND1,chr7,128032116,128032421,305,0.0669771957452814,0.516498413003888,0.449521217258606,0.997455470737914,1,0.999264913768731,cg15087147;cg04153784;cg12628196;cg09087503
LRRC4;SND1,chr7,128032099,128032421,322,0.0656873202228198,0.488152456047006,0.422465135824187,0.994910941475827,1,0.999208368674018,cg27573591;cg15087147;cg04153784;cg12628196;cg09087503
LRRC4;SND1,chr7,128032116,128032406,290,0.0568067865077045,0.504592250026889,0.447785463519184,0.994910941475827,1,0.999038733389878,cg15087147;cg04153784;cg12628196
LRRC4;SND1,chr7,128032182,128032406,224,0.0618792665602639,0.548223329873862,0.486344063313598,0.997455470737914,1,0.998982188295165,cg04153784;cg12628196
LRRC4;SND1,chr7,128031142,128032421,1279,0.0710439819539726,0.463689399641589,0.392645417687617,0.989821882951654,1,0.998982188295165,cg06945399;cg27573591;cg15087147;cg04153784;cg12628196;cg09087503
LRRC4;SND1,chr7,128032099,128032406,307,0.0577370444140218,0.472136344575037,0.414399300161015,0.987277353689567,1,0.9986994628216,cg27573591;cg15087147;cg04153784;cg12628196
LRRC4;SND1,chr7,128031140,128032421,1281,0.066841468437313,0.453314869120086,0.386473400682773,0.994910941475827,0.977777777777778,0.998077466779757,cg07871590;cg06945399;cg27573591;cg15087147;cg04153784;cg12628196;cg09087503
OPLAH;CTD-3065J16.6,chr8,144051681,144052297,616,0.141077537062156,0.600288308053613,0.459210770991456,0.974554707379135,1,0.997342380548487,cg26256223;cg22882523;cg04366687
LRRC4;SND1,chr7,128031142,128032406,1264,0.0657550936531647,0.44598389918293,0.380228805529765,0.966921119592875,1,0.997285835453774,cg06945399;cg27573591;cg15087147;cg04153784;cg12628196
OPLAH;CTD-3065J16.6,chr8,144051398,144052297,899,0.111373167983585,0.632040766255158,0.520667598271573,0.972010178117048,1,0.997172745264348,cg17698295;cg17301223;cg26256223;cg22882523;cg04366687
OPLAH;CTD-3065J16.6,chr8,144051537,144052297,760,0.124384409166365,0.620101079739418,0.495716670573053,0.974554707379135,1,0.997116200169635,cg17301223;cg26256223;cg22882523;cg04366687
IRF4,chr6,391743,393617,1874,0.196013818341419,0.636245079463792,0.440231261122373,0.987277353689567,1,0.996890019790783,cg05766140;cg17228900;cg06392169;cg12741420;cg12612118;cg12684209;cg21277995;cg06223767
IRF4,chr6,391743,392556,813,0.18782481280972,0.610995238086425,0.423170425276705,0.979643765903308,1,0.99683347469607,cg05766140;cg17228900;cg06392169;cg12741420;cg12612118
IRF4,chr6,391743,392132,389,0.151093983535465,0.609735270718527,0.458641287183062,0.982188295165394,1,0.996720384506644,cg05766140;cg17228900;cg06392169;cg12741420
IRF4,chr6,391764,392132,368,0.171745061320922,0.619409694154045,0.447664632833123,0.984732824427481,1,0.996663839411931,cg17228900;cg06392169;cg12741420
ITGA4,chr2,181457059,181457553,494,0.148409410279648,0.617250668244507,0.46884125796486,0.964376590330789,1,0.996663839411931,cg25652029;cg20415809;cg10526659;cg06952671;cg21995919
OPLAH;CTD-3065J16.6,chr8,144051681,144052110,429,0.138181067938991,0.615695271193156,0.477514203254165,0.974554707379135,1,0.996550749222505,cg26256223;cg22882523
OPLAH;CTD-3065J16.6,chr8,144051345,144052297,952,0.113594375265284,0.627704298005975,0.514109922740691,0.972010178117048,1,0.996550749222505,cg26199906;cg17698295;cg17301223;cg26256223;cg22882523;cg04366687
FGF8,chr10,101775880,101776592,712,0.170378507312797,0.465964264095223,0.295585756782427,0.974554707379135,0.977777777777778,0.996494204127792,cg16584573;cg09376854;cg16248277;cg25209842;cg06169131
OPLAH;CTD-3065J16.6,chr8,144051537,144052110,573,0.116889053785657,0.636976645727715,0.520087591942058,0.974554707379135,1,0.996437659033079,cg17301223;cg26256223;cg22882523
OPLAH;CTD-3065J16.6,chr8,144051398,144052110,712,0.102498841152359,0.647682362375316,0.545183521222957,0.989821882951654,0.977777777777778,0.996381113938366,cg17698295;cg17301223;cg26256223;cg22882523
NXPH2,chr2,138780275,138780787,512,0.187785280187911,0.634531766010964,0.446746485823052,0.972010178117048,1,0.99626802374894,cg00804628;cg00593536;cg15175143
OPLAH;CTD-3065J16.6,chr8,144050928,144052297,1369,0.112137707084318,0.619314024175463,0.507176317091145,0.969465648854962,1,0.996211478654227,cg06319475;cg26199906;cg17698295;cg17301223;cg26256223;cg22882523;cg04366687
ITGA4,chr2,181457331,181458023,692,0.138026528095692,0.566515558871145,0.428489030775453,0.961832061068702,1,0.996211478654227,cg10526659;cg06952671;cg21995919;cg25024074;cg16057262;cg11947981
