geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
LINC01158,chr2,104843317,104844911,1594,0.177037954,0.520486973,0.343449019,1,1,1,cg00619126;cg15910662;cg00001747;cg02013838;cg17529832;cg18252360;cg06122635
LINC01158,chr2,104843317,104844935,1618,0.172965621,0.499735231,0.32676961,1,1,1,cg00619126;cg15910662;cg00001747;cg02013838;cg17529832;cg18252360;cg06122635;cg05900347
RNF220,chr1,44406985,44407558,573,0.149723993,0.540410623,0.390686629,1,1,1,cg26341102;cg14403130;cg04023150;cg10224098
RNF220,chr1,44406830,44407558,728,0.122849822,0.476628665,0.353778843,1,1,1,cg16822216;cg26341102;cg14403130;cg04023150;cg10224098
RNF220,chr1,44406985,44407921,936,0.161385032,0.562198872,0.40081384,1,1,1,cg26341102;cg14403130;cg04023150;cg10224098;cg04541474
RNF220,chr1,44406791,44407558,767,0.121465041,0.459029128,0.337564086,1,1,1,cg00023154;cg16822216;cg26341102;cg14403130;cg04023150;cg10224098
RNF220,chr1,44406830,44407921,1091,0.137046383,0.505415866,0.368369483,1,1,1,cg16822216;cg26341102;cg14403130;cg04023150;cg10224098;cg04541474
RNF220,chr1,44406403,44407558,1155,0.108515498,0.4017996,0.293284102,1,1,1,cg13675568;cg00023154;cg16822216;cg26341102;cg14403130;cg04023150;cg10224098
RNF220,chr1,44406791,44407921,1130,0.133831347,0.486218091,0.352386743,1,1,1,cg00023154;cg16822216;cg26341102;cg14403130;cg04023150;cg10224098;cg04541474
RNF220,chr1,44406830,44408021,1191,0.191321961,0.522327731,0.33100577,1,1,1,cg16822216;cg26341102;cg14403130;cg04023150;cg10224098;cg04541474;cg01422881
RNF220,chr1,44405962,44407558,1596,0.105532324,0.370637851,0.265105527,1,1,1,cg06550214;cg13675568;cg00023154;cg16822216;cg26341102;cg14403130;cg04023150;cg10224098
RNF220,chr1,44406403,44407921,1518,0.120954709,0.432743633,0.311788925,1,1,1,cg13675568;cg00023154;cg16822216;cg26341102;cg14403130;cg04023150;cg10224098;cg04541474
RNF220,chr1,44406791,44408021,1230,0.181724358,0.503415695,0.321691337,1,1,1,cg00023154;cg16822216;cg26341102;cg14403130;cg04023150;cg10224098;cg04541474;cg01422881
