geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
HMX2,chr10,123148911,123150196,1285,0.183430954,0.412563712,0.229132757,1,1,1,cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983
HMX2,chr10,123148567,123150196,1629,0.180884319,0.411854373,0.230970054,1,1,1,cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983
HMX2,chr10,123148426,123150374,1948,0.198862885,0.426292023,0.227429138,1,1,1,cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983;cg14822490
HMX2,chr10,123147941,123149513,1572,0.138160042,0.378108838,0.239948796,1,1,1,cg23437459;cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935
HMX2,chr10,123148024,123149900,1876,0.134120703,0.372458298,0.238337595,1,1,1,cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634
HMX2,chr10,123148037,123150196,2159,0.145960835,0.377693384,0.231732549,1,1,1,cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983
HMX2,chr10,123147893,123149513,1620,0.13774461,0.368684589,0.230939979,1,1,1,cg00684248;cg23437459;cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935
HMX2,chr10,123147941,123149900,1959,0.13463317,0.377189042,0.242555872,1,1,1,cg23437459;cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634
HMX2,chr10,123148024,123150196,2172,0.137337029,0.379537603,0.242200573,1,1,1,cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983
HMX2,chr10,123148037,123150374,2337,0.164391727,0.398614194,0.234222467,1,1,1,cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983;cg14822490
HMX2,chr10,123147941,123150196,2255,0.137583155,0.383424772,0.245841618,1,1,1,cg23437459;cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983
HMX2,chr10,123148024,123150374,2350,0.155067414,0.398832339,0.243764925,1,1,1,cg17498296;cg22603247;cg07229938;cg19909787;cg00474465;cg05189242;cg17795158;cg10059942;cg03716936;cg00006081;cg02430935;cg04820634;cg27137983;cg14822490
