geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
GHSR,chr3,172447906,172448728,822,0.109544264275701,0.568134892079374,0.458590627803673,0.689252336448598,1,0.999085737505079,cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757;cg14768785
L1TD1,chr1,62194952,62195190,238,0.115800642943934,0.71132326974272,0.595522626798785,0.946261682242991,1,0.999085737505079,cg23049458;cg12640000;cg03731268
LINC00391,chr13,94702487,94702864,377,0.111640677067265,0.627780080692489,0.516139403625224,0.794392523364486,1,0.998984152783421,cg11432962;cg02671880
GHSR,chr3,172447727,172448728,1001,0.114378338298146,0.548828680475912,0.434450342177766,0.644859813084112,1,0.998984152783421,cg18875012;cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757;cg14768785
TBX4,chr17,61456741,61457487,746,0.190348788044869,0.691844127527675,0.501495339482805,0.91588785046729,1,0.998933360422592,cg06365535;cg24274579;cg00158789;cg25900280
TBX4,chr17,61456741,61457543,802,0.169724855241517,0.658284289548039,0.488559434306521,0.897196261682243,1,0.998933360422592,cg06365535;cg24274579;cg00158789;cg25900280;cg03222323
L1TD1,chr1,62194884,62195190,306,0.169768905109292,0.72818174521352,0.558412840104228,0.957943925233645,1,0.998933360422592,cg19594218;cg23049458;cg12640000;cg03731268
TBX4,chr17,61456741,61457638,897,0.156921056391416,0.662919663630111,0.505998607238695,0.904205607476635,1,0.998882568061764,cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443
TBX4,chr17,61456483,61457638,1155,0.196698163143943,0.676712575114676,0.480014411970733,0.91588785046729,1,0.998882568061764,cg18536148;cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443
TBX4,chr17,61456483,61457893,1410,0.185965190774531,0.668450248956946,0.482485058182414,0.906542056074766,1,0.998831775700935,cg18536148;cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443;cg07265743
POU4F2;AC093887.1,chr4,146638496,146640749,2253,0.12788864024682,0.564315156616173,0.436426516369353,0.686915887850467,1,0.998831775700935,cg12935979;cg24199834;cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264;cg19555331
TBX4,chr17,61456741,61457893,1152,0.150337246076735,0.655447421090499,0.505110175013765,0.88785046728972,1,0.998780983340106,cg06365535;cg24274579;cg00158789;cg25900280;cg03222323;cg17975443;cg07265743
POU4F2;AC093887.1,chr4,146639130,146640749,1619,0.134451199562102,0.58268473240407,0.448233532841969,0.766355140186916,1,0.998780983340106,cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264;cg19555331
POU4F2;AC093887.1,chr4,146638496,146640624,2128,0.129042151276687,0.557078436573552,0.428036285296864,0.679906542056075,1,0.998780983340106,cg12935979;cg24199834;cg02610222;cg14631165;cg25406138;cg06083330;cg19134568;cg00505045;cg16887264
GHSR,chr3,172447906,172448469,563,0.120800046818845,0.559183099292028,0.438383052473183,0.668224299065421,1,0.998780983340106,cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757
GHSR,chr3,172447727,172448469,742,0.124716733909761,0.53839768500055,0.413680951090789,0.635514018691589,1,0.998780983340106,cg18875012;cg03587978;cg10109500;cg07852825;cg15987088;cg24599434;cg17152757
NKX2-6;RP11-175E9.1,chr8,23705405,23705634,229,0.173416686152232,0.668268570276606,0.494851884124375,0.899532710280374,1,0.998730190979277,cg14451926;cg00425918
GHSR,chr3,172448094,172448453,359,0.10448851342226,0.560421623364797,0.455933109942538,0.670560747663551,1,0.998679398618448,cg10109500;cg07852825;cg15987088;cg24599434
GHSR,chr3,172447906,172448453,547,0.125875223507927,0.555672601075728,0.429797377567801,0.672897196261682,1,0.998679398618448,cg03587978;cg10109500;cg07852825;cg15987088;cg24599434
NKX2-6;RP11-175E9.1,chr8,23705405,23705670,265,0.144789835243978,0.623168961134726,0.478379125890749,0.817757009345794,1,0.998628606257619,cg14451926;cg00425918;cg01336781
LINC00391,chr13,94701936,94702864,928,0.182385331506274,0.657910631934936,0.475525300428661,0.878504672897196,1,0.998628606257619,cg11762968;cg11432962;cg02671880
GHSR,chr3,172448094,172448469,375,0.102675643412495,0.563684416766544,0.461008773354049,0.668224299065421,1,0.998628606257619,cg10109500;cg07852825;cg15987088;cg24599434;cg17152757
