geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
MIR137HG;MIR2682;MIR137,chr1,98045670,98045968,298,0.156313921,0.564059752,0.407745831,1,1,1,cg04282138;cg04763554;cg19050990
MIR137HG;MIR2682;MIR137,chr1,98045654,98045968,314,0.143788024,0.539659937,0.395871913,1,1,1,cg09022943;cg04282138;cg04763554;cg19050990
MIR137HG;MIR2682;MIR137,chr1,98045670,98046074,404,0.170510421,0.555748789,0.385238368,1,1,1,cg04282138;cg04763554;cg19050990;cg04293733
NXPH2,chr2,138780175,138780653,478,0.148810898,0.58635007,0.437539171,1,1,1,cg10989763;cg18150439;cg14923640;cg00804628;cg00593536
NXPH2,chr2,138780256,138781032,776,0.18966528,0.604454203,0.414788923,1,1,1,cg14923640;cg00804628;cg00593536;cg15175143;cg23302570
NXPH2,chr2,138780175,138781032,857,0.177971014,0.596741008,0.418769993,1,1,1,cg10989763;cg18150439;cg14923640;cg00804628;cg00593536;cg15175143;cg23302570
MAFB,chr20,40688394,40688843,449,0.124591518,0.50090751,0.376315992,1,1,1,cg24033330;cg02497758;cg16844989
NALCN,chr13,101416299,101416639,340,0.183293938,0.626040387,0.442746449,1,1,1,cg05673756;cg10774877
NALCN,chr13,101416179,101416639,460,0.149675506,0.602072865,0.452397359,1,1,1,cg25201811;cg05673756;cg10774877
IRF4,chr6,391764,392132,368,0.171745061,0.621112269,0.449367208,1,1,1,cg17228900;cg06392169;cg12741420
IRF4,chr6,391743,392132,389,0.151093984,0.606453014,0.455359031,1,1,1,cg05766140;cg17228900;cg06392169;cg12741420
IRF4,chr6,391743,392556,813,0.187824813,0.612893466,0.425068653,1,1,1,cg05766140;cg17228900;cg06392169;cg12741420;cg12612118
IRF4,chr6,391743,393617,1874,0.196013818,0.635740815,0.439726997,1,1,1,cg05766140;cg17228900;cg06392169;cg12741420;cg12612118;cg12684209;cg21277995;cg06223767
ADHFE1,chr8,66432485,66432702,217,0.139779227,0.730678184,0.590898957,1,1,1,cg20912169;cg01988129
ADHFE1,chr8,66432430,66432702,272,0.11173425,0.739896334,0.628162084,1,1,1,cg20295442;cg20912169;cg01988129
ADHFE1,chr8,66432407,66432702,295,0.106879715,0.712946873,0.606067158,1,1,1,cg19283840;cg20295442;cg20912169;cg01988129
FLI1;SENCR,chr11,128693132,128694862,1730,0.072874759,0.508143604,0.435268845,1,1,1,cg27028555;cg09037089;cg18142615;cg08590601;cg19897940;cg13755070;cg02526522;cg06172475;cg06072021;cg17872757;cg02216246
FLI1;SENCR,chr11,128693132,128694980,1848,0.070434248,0.525298634,0.454864387,1,1,1,cg27028555;cg09037089;cg18142615;cg08590601;cg19897940;cg13755070;cg02526522;cg06172475;cg06072021;cg17872757;cg02216246;cg11017065
CDH20,chr18,61333627,61334166,539,0.199910024,0.496879157,0.296969133,1,1,1,cg23085662;cg18044383;cg12816979
CDH20,chr18,61333627,61334444,817,0.169142521,0.491337396,0.322194875,1,1,1,cg23085662;cg18044383;cg12816979;cg04908789
CDH20,chr18,61333627,61334459,832,0.148805197,0.459107204,0.310302008,1,1,1,cg23085662;cg18044383;cg12816979;cg04908789;cg02278437
AGRN,chr1,1033874,1034365,491,0.195242792,0.731839444,0.536596652,1,1,1,cg16318112;cg09248054;cg15840462
LRRC4;SND1,chr7,128032182,128032406,224,0.061879267,0.570603921,0.508724654,1,1,1,cg04153784;cg12628196
LRRC4;SND1,chr7,128032116,128032406,290,0.056806787,0.524095131,0.467288345,1,1,1,cg15087147;cg04153784;cg12628196
LRRC4;SND1,chr7,128032182,128032421,239,0.073748986,0.569062459,0.495313473,1,1,1,cg04153784;cg12628196;cg09087503
