geneSymbol,chr,Start,End,Width,betaN,betaC,dltBeta,senesitivity,specificity,AUC,probeIds
DOK5,chr20,54475720,54475936,216,0.165235833,0.555713724,0.39047789,1,1,1,cg27341128;cg20107395;cg00055557
RP4-555D20.3;RP4-555D20.4,chr3,43996268,43996864,596,0.192068405,0.460341891,0.268273486,1,1,1,cg14858267;cg22573391;cg14560001;cg02569778
RP4-555D20.3;RP4-555D20.4,chr3,43996268,43996993,725,0.163624377,0.408381768,0.24475739,1,1,1,cg14858267;cg22573391;cg14560001;cg02569778;cg00082713
DPP10;DPP10-AS1,chr2,115162644,115162899,255,0.106670128,0.458820654,0.352150526,1,1,1,cg13777681;cg18759990
DPP10;DPP10-AS1,chr2,115162373,115162899,526,0.134741486,0.506802078,0.372060592,1,1,1,cg00089091;cg13777681;cg18759990
DPP10;DPP10-AS1,chr2,115162644,115163037,393,0.092127672,0.418340009,0.326212337,1,1,1,cg13777681;cg18759990;cg01886957
DPP10;DPP10-AS1,chr2,115162252,115162899,647,0.125498115,0.498430674,0.372932559,1,1,1,cg01718116;cg00089091;cg13777681;cg18759990
DPP10;DPP10-AS1,chr2,115162373,115163037,664,0.116816805,0.464446238,0.347629434,1,1,1,cg00089091;cg13777681;cg18759990;cg01886957
DPP10;DPP10-AS1,chr2,115162208,115162899,691,0.125690824,0.496241394,0.370550571,1,1,1,cg04075191;cg01718116;cg00089091;cg13777681;cg18759990
DPP10;DPP10-AS1,chr2,115162252,115163037,785,0.113007044,0.466220283,0.353213239,1,1,1,cg01718116;cg00089091;cg13777681;cg18759990;cg01886957
DPP10;DPP10-AS1,chr2,115161789,115162899,1110,0.110258462,0.46936215,0.359103688,1,1,1,cg04617755;cg04075191;cg01718116;cg00089091;cg13777681;cg18759990
DPP10;DPP10-AS1,chr2,115162208,115163037,829,0.11524948,0.469764282,0.354514802,1,1,1,cg04075191;cg01718116;cg00089091;cg13777681;cg18759990;cg01886957
DPP10;DPP10-AS1,chr2,115161432,115162899,1467,0.10215154,0.473395547,0.371244006,1,1,1,cg21678377;cg04617755;cg04075191;cg01718116;cg00089091;cg13777681;cg18759990
DPP10;DPP10-AS1,chr2,115161789,115163037,1248,0.103513362,0.450507374,0.346994012,1,1,1,cg04617755;cg04075191;cg01718116;cg00089091;cg13777681;cg18759990;cg01886957
DPP10;DPP10-AS1,chr2,115161432,115163037,1605,0.097262943,0.456393443,0.3591305,1,1,1,cg21678377;cg04617755;cg04075191;cg01718116;cg00089091;cg13777681;cg18759990;cg01886957
DPP10;DPP10-AS1,chr2,115161429,115163037,1608,0.09697609,0.462503254,0.365527164,1,1,1,cg03753331;cg21678377;cg04617755;cg04075191;cg01718116;cg00089091;cg13777681;cg18759990;cg01886957
RUNX3,chr1,24930700,24931015,315,0.198287663,0.436880943,0.23859328,1,1,1,cg02970551;cg07996594
RUNX3,chr1,24930640,24931015,375,0.150164086,0.360200076,0.21003599,1,1,1,cg26672794;cg02970551;cg07996594
RUNX3,chr1,24930567,24931015,448,0.122920934,0.322903003,0.199982069,1,1,1,cg26421310;cg26672794;cg02970551;cg07996594
RUNX3,chr1,24930538,24931015,477,0.106546585,0.292472605,0.185926019,1,1,1,cg22737001;cg26421310;cg26672794;cg02970551;cg07996594
