betaN betaC dltBeta GeneSymbol BaseNumber probeIds
0.099049036241176 0.681820617501724 0.582771581260548 ADHFE1 384 cg01588438;cg09383816;cg18065361;cg08090772;cg19283840;cg20295442;cg20912169;cg01988129
0.0602758033486902 0.585870543571832 0.525594740223142 AMPH 405 cg04276723;cg19875547;cg02383130;cg10293925;cg07926691;cg26122980
0.125307676243835 0.645511728863177 0.520204052619342 TMEM240 595 cg13850380;cg00813378;cg16601494
0.0787400251297085 0.591020475357992 0.512280450228284 DAB2IP 470 cg05684891;cg14063008;cg27650175
0.0913383034249092 0.603451099960115 0.512112796535206 C9orf50;NTMT1 571 cg14015706;cg13405887;cg09731694
0.102755821152068 0.594172833862596 0.491417012710528 DCLK1 582 cg12328333;cg20219457;cg25724283;cg25012919;cg25943503;cg24239329
0.141078119124269 0.629960048414707 0.488881929290438 PDX1 712 cg16302790;cg09975620;cg24601716;cg12815918;cg15961466;cg26299169;cg00184376
0.171355060981481 0.658124747484779 0.486769686503298 GRIA4 124 cg15603568;cg23559689;cg00343633;cg03225817;cg04747226;cg07972135;cg21217024
0.137583394537499 0.619531626557785 0.481948232020286 HSD17B12;MIR129-2 13 cg15556502;cg14416371;cg14944647
0.166397111716671 0.64636544546613 0.479968333749459 CNRIP1 113 cg11573679;cg07080358;cg24171907
0.0804068820474905 0.558019089225543 0.477612207178053 FBLIM1 495 cg04897742;cg14531560;cg26036626;cg23002761
0.0957652410975832 0.568838712038204 0.473073470940621 BOLL 619 cg03774803;cg05783139;cg13356896;cg07495363;cg24589459;cg00926400
0.139330183711575 0.607357951184643 0.468027767473068 GPC6 1540 cg19824907;cg16792800;cg12989574;cg18058689;cg07576142;cg07234958;cg14778311
0.142520032714543 0.60721192248145 0.464691889766907 C8orf34 590 cg08448589;cg03357798;cg13407456;cg22001496;cg24280540
0.0999963688299208 0.561706149799202 0.461709780969281 SSBP4 490 cg13331354;cg18547371;cg07561894;cg20556517
0.110869491232081 0.568266032030975 0.457396540798894 SCTR 281 cg01013590;cg20505223;cg07176264
0.194830945367349 0.651234253323303 0.456403307955954 OTX1 312 cg04654530;cg08473330;cg07974511
0.0596499484241424 0.515928675512736 0.456278727088594 EIF2B5 492 cg17342973;cg09591072;cg24000814
0.100235754272714 0.555109377742541 0.454873623469827 NA 775 cg12796383;cg00020622;cg01626326;cg05545132;cg16263943
0.127445093828442 0.573471147558668 0.446026053730226 KHDRBS2 339 cg00472801;cg18239753;cg16587616;cg26715952;cg22014661;cg03656899;cg18134312;cg18884037
0.166562249153197 0.610163818713903 0.443601569560706 PCDHGA1;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7;PCDHGC3;PCDHGC4 185 cg15949044;cg02022733;cg03640756;cg15361590;cg23445461
0.0853410410502723 0.525729828065528 0.440388787015256 DPY19L2 181 cg06995920;cg04455164;cg00845942
0.0862670309868264 0.52498177293792 0.438714741951094 EYA4 1446 cg26449787;cg02446647;cg14017655;cg06181518;cg11518846;cg20980055;cg20286200;cg05062333;cg01162672;cg01328892;cg17838029;cg16347317;cg05085230;cg08712932;cg06132028;cg11942956;cg20787173;cg11664500;cg14287112;cg22871668;cg14270292;cg26656135;cg24176563;cg01401376;cg17722675;cg21607030
