probeId	betaN	betaC	dltBeta	Chromosome	Start	End	CGILocation	GeneSymbol	Gene+AF8-Symbol	importance
cg06848185	0.023428119	0.427059806	0.403631688	chr17	77372820	77372821	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg19554255	0.055894525	0.393307914	0.337413388	chr17	77372969	77372970	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg17300544	0.042479408	0.578345061	0.535865653	chr17	77373009	77373010	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg03804136	0.040568552	0.477709876	0.437141324	chr17	77373137	77373138	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg15044248	0.017584059	0.469775741	0.452191682	chr17	77373142	77373143	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg02884239	0.067993815	0.352630335	0.28463652	chr17	77373146	77373147	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg20275528	0.120564527	0.646518518	0.525953991	chr17	77373402	77373403	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg12783819	0.27985429	0.697963942	0.418109652	chr17	77373575	77373576	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg05184938	0.246722963	0.524233631	0.277510667	chr17	77373857	77373858	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
cg02320862	0.420533378	0.782294576	0.361761198	chr17	77374202	77374203	CGI:chr17:77372606+AC0-77374424	9-Sep	9-Sep	1
										
cg26449787	0.096343328	0.522383587	0.426040258	chr6	133240949	133240950	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg02446647	0.201634444	0.670455116	0.468820671	chr6	133240963	133240964	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg14017655	0.027040398	0.36146283	0.334422432	chr6	133241055	133241056	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg06181518	0.029724448	0.35485576	0.325131313	chr6	133241058	133241059	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg11518846	0.039711207	0.446643829	0.406932622	chr6	133241108	133241109	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg20980055	0.033604013	0.428043776	0.394439763	chr6	133241120	133241121	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg20286200	0.084685411	0.508124299	0.423438888	chr6	133241129	133241130	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg05062333	0.097697176	0.490165746	0.39246857	chr6	133241131	133241132	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg01162672	0.117654067	0.496149267	0.3784952	chr6	133241137	133241138	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg01328892	0.133442391	0.522105524	0.388663133	chr6	133241194	133241195	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg17838029	0.024837426	0.248541085	0.223703659	chr6	133241196	133241197	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg16347317	0.03075987	0.224864091	0.194104221	chr6	133241198	133241199	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg05085230	0.052743113	0.441796712	0.389053599	chr6	133241323	133241324	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg08712932	0.056198843	0.470691596	0.414492753	chr6	133241325	133241326	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg06132028	0.079397458	0.494170464	0.414773006	chr6	133241328	133241329	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg11942956	0.082075834	0.552709255	0.470633421	chr6	133241332	133241333	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg20787173	0.138904192	0.613475142	0.47457095	chr6	133241337	133241338	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
cg11664500	0.050660579	0.561179908	0.51051933	chr6	133241341	133241342	CGI:chr6:133240948+AC0-133242448	EYA4	EYA4	2
